"species","Estimate","SE","z","P(>|z|)","variable"
"Brown_Dipper",-1.08145159279458,0.737361354532684,-1.46665076240667,0.142471083460818,"lambda_intrcpt"
"Brown_Dipper",0.504977914884919,0.138711763348555,3.64048371021001,0.000272126324959121,"lambda_elev"
"Brown_Dipper",0.46420025502728,0.239167081271794,1.94090362502586,0.0522699682420088,"lambda.flow"
"Brown_Dipper",-0.00382911862515562,0.0122661261355911,-0.312170165448172,0.75491120445458,"lambda.wor"
"Brown_Dipper",-2.41203000235377,0.363073704791006,-6.64336185883302,3.06607843366996e-11,"gamma"
"Brown_Dipper",1.91173308458671,0.304287425920315,6.28265554780875,3.32837973679223e-10,"omega"
"Brown_Dipper",0.957939063122169,0.128278707112796,7.46763889879127,8.16465257850848e-14,"det_prob"
"Blue_Whistling_Thrush",-0.938067555336608,0.571128537312237,-1.64248062222772,0.100490438792578,"lambda_intrcpt"
"Blue_Whistling_Thrush",0.302093395478681,0.164492336071691,1.83651957710066,0.0662808494144688,"lambda_elev"
"Blue_Whistling_Thrush",0.282883459427612,0.211195553028568,1.33943852212337,0.180427955741579,"lambda.flow"
"Blue_Whistling_Thrush",0.00788038420095775,0.00456439500143626,1.72649041077252,0.0842592229882436,"lambda.wor"
"Blue_Whistling_Thrush",-1.54354443310445,0.230049423940695,-6.70962094433396,1.95130630688484e-11,"gamma"
"Blue_Whistling_Thrush",1.51014015011153,0.336832551170181,4.48335573526131,7.34782843785361e-06,"omega"
"Blue_Whistling_Thrush",0.692185771373123,0.140355695372692,4.93165431965645,8.15361150970771e-07,"det_prob"
"Crested_Kingfisher",-1.20484404140767,0.853723222428817,-1.41128179456092,0.158161540364576,"lambda_intrcpt"
"Crested_Kingfisher",-1.30735545961063,0.357592885997489,-3.65598844608952,0.000256192893673075,"lambda_elev"
"Crested_Kingfisher",0.248817906998723,0.258163937875524,0.963798077478555,0.335147170741884,"lambda.flow"
"Crested_Kingfisher",-0.0105269151203483,0.0148707679007672,-0.707893176101903,0.479011597685035,"lambda.wor"
"Crested_Kingfisher",-3.29470121110673,0.457941523399536,-7.19458935858985,6.26490263607958e-13,"gamma"
"Crested_Kingfisher",3.08339718947419,0.508237208392519,6.06684661917322,1.30446023368607e-09,"omega"
"Crested_Kingfisher",0.943786342749104,0.125488314506319,7.5209101856379,5.43962092919811e-14,"det_prob"
"Common_Kingfisher",-0.833274520183253,1.00852200920715,-0.826233351950675,0.408671732255678,"lambda_intrcpt"
"Common_Kingfisher",-1.31671853196641,0.324864891852172,-4.05312659197897,5.05376372307002e-05,"lambda_elev"
"Common_Kingfisher",0.382340083479542,0.292361275933597,1.30776581904911,0.19095275102451,"lambda.flow"
"Common_Kingfisher",-0.0399234114720285,0.0215796608938473,-1.85004813877363,0.0643066116708236,"lambda.wor"
"Common_Kingfisher",-12.1504246728415,90.8617170590423,-0.13372435681516,0.89362054419205,"gamma"
"Common_Kingfisher",2.24987626124891,0.552376439941793,4.07308512558209,4.63944576441163e-05,"omega"
"Common_Kingfisher",-0.906341208359938,0.203803488702343,-4.44713294228077,8.70239845317206e-06,"det_prob"
"Grey_Wagtail",-0.78022859050881,0.669802697585401,-1.16486331470668,0.244074325143498,"lambda_intrcpt"
"Grey_Wagtail",0.730983996966817,0.156380155028122,4.67440383874388,2.94808726520558e-06,"lambda_elev"
"Grey_Wagtail",0.175831954717628,0.228750630804425,0.768662163244304,0.442093892070851,"lambda.flow"
"Grey_Wagtail",-0.00177408506432828,0.0100489717799095,-0.176543939338662,0.859866632140117,"lambda.wor"
"Grey_Wagtail",-2.22490068041932,0.282600538792608,-7.87295271949961,3.46367577783516e-15,"gamma"
"Grey_Wagtail",1.927934442303,0.320910887518801,6.00769408981191,1.88180469257988e-09,"omega"
"Grey_Wagtail",0.971739455956004,0.129848109559,7.48366271373759,7.22793144486969e-14,"det_prob"
"Little_Forktail",-1.2064916132214,1.455663422874,-0.828825945794089,0.407202904323508,"lambda_intrcpt"
"Little_Forktail",0.641882535882446,0.313343776376267,2.04849301079357,0.0405117162357647,"lambda_elev"
"Little_Forktail",-0.0721967830758486,0.446561089394053,-0.161672803095795,0.871563522730719,"lambda.flow"
"Little_Forktail",-0.0195671007727089,0.0365363230597325,-0.535551996864026,0.592268212304135,"lambda.wor"
"Little_Forktail",-17.8898746450554,789.133944729086,-0.0226702637296854,0.981913295843398,"gamma"
"Little_Forktail",9.96699176388375,44.5896297745946,0.223527125348831,0.823125274155575,"omega"
"Little_Forktail",-0.812352716489107,0.233037103231496,-3.48593724014037,0.000490416046117477,"det_prob"
"Plumbeous_Water_Redstart",-0.230719296629027,0.630771259221801,-0.36577331838751,0.71453423109813,"lambda_intrcpt"
"Plumbeous_Water_Redstart",0.674984533708074,0.127513542047801,5.29343411584506,1.20040501635986e-07,"lambda_elev"
"Plumbeous_Water_Redstart",0.176790604635304,0.197975515899317,0.892992266403352,0.371861314181241,"lambda.flow"
"Plumbeous_Water_Redstart",-0.0102447061612242,0.0133160655424434,-0.769349334348826,0.441685957400405,"lambda.wor"
"Plumbeous_Water_Redstart",-2.49187815553316,0.318579378617076,-7.82184385678122,5.20551537757962e-15,"gamma"
"Plumbeous_Water_Redstart",2.05793472758898,0.253955730633917,8.10351757943018,5.33925080187042e-16,"omega"
"Plumbeous_Water_Redstart",1.86994200044729,0.135820444429461,13.7677505643743,3.98426602799731e-43,"det_prob"
"Spotted_Forktail",0.51287632416117,1.22362865834759,0.419143766094666,0.675111066673543,"lambda_intrcpt"
