"species","Estimate","SE","z","P(>|z|)"
"WCR",-0.162943775408855,0.209699967475099,-0.77703290739997,0.437139355661475
"WCR",-11.3358459702914,83.0436795536833,-0.136504620595037,0.891422372036418
"White browed Wagtail",-0.214319837942894,0.665245164937614,-0.322166697691058,0.747326411978923
"White browed Wagtail",-1.41366058358144,0.278087279802166,-5.08351401253278,3.70515230714371e-07
"White browed Wagtail",0.112084697134281,0.172601294878347,0.649385030473155,0.516089537309356
"White browed Wagtail",0.00948840833479522,0.00299337729399007,3.16980033016403,0.00152543722599878
"White browed Wagtail",-12.8717438975976,121.575585123996,-0.105874414541946,0.915681994187776
"White browed Wagtail",2.37755506425287,0.476008983294558,4.99476931674127,5.89061357476735e-07
"White browed Wagtail",-1.2331940076724,0.250489360306533,-4.92313927491088,8.51667931041947e-07
"White browed Wagtail",-2.28481964535894,1.27363610644884,-1.79393441642409,0.0728236373745599
"White Wagtail",-0.545576002149155,0.927225625106698,-0.588396165266004,0.556266411087253
"White Wagtail",1.70603627987127,0.285252769299379,5.98078779063752,2.22061016107599e-09
"White Wagtail",-0.489880222403917,0.297766330442806,-1.645183394897,0.0999319967895769
"White Wagtail",-0.0206865344493892,0.0265386741882794,-0.779486356501004,0.435693271460988
"White Wagtail",-19.1035828277793,1518.93778826039,-0.0125769356555795,0.989965321765313
"White Wagtail",2.13953569455658,0.546293379927428,3.91645912831821,8.98590416755411e-05
"White Wagtail",-0.74658084682134,0.317509766226261,-2.35136341062756,0.0187047555582601
"White Wagtail",-11.5254645597401,146.516809831228,-0.0786630870069874,0.937300606763359
"WTK",-0.824940145988013,0.611900591736592,-1.3481603991374,0.177606798486584
"WTK",-1.40850366367893,0.384869369634604,-3.65969280698062,0.000252517784920012
"WTK",0.00799042481411039,0.195938482839044,0.0407802729628882,0.967471066169776
"WTK",0.00678914654958364,0.00418872179606945,1.62081581926838,0.105057144791878
"WTK",-17.2164019228422,783.948501254566,-0.0219611388953363,0.98247895472464
"WTK",2.20574776910451,0.727845589618492,3.0305160882553,0.00244136180155325
"WTK",-1.75421299281497,0.325762021082758,-5.38495244775425,7.24638033944469e-08
"WTK",-9.88782571884399,75.0176429684703,-0.131806670105588,0.895137210604861
